dimension,value,events,matchedGamma,withPnl,totalPnl,avgPnl,positivePnlRows,positivePnlRate,botWins,botWinRate,sideCompared,sideWinsVsGamma,sideWinRateVsGamma
setup,ee_paper,517,517,278,18.48,0.0664748201,209,0.7517985611510791,34,0.06576402321083172,278,234,0.841726618705036
setup+close_reason,ee_paper|PROFIT_PROTECT,175,175,175,120.0,0.6857142857,175,1.0,0,0.0,175,166,0.9485714285714286
setup+close_reason,ee_paper|ee_paper_profit_protect,175,175,0,,,0,,0,0.0,0,0,
setup+close_reason,ee_paper|STOP_LOSS,64,64,64,-113.04,-1.76625,0,0.0,0,0.0,64,36,0.5625
setup+close_reason,ee_paper|ee_paper_stop_loss,64,64,0,,,0,,0,0.0,0,0,
setup+close_reason,ee_paper|WIN,34,34,34,33.54,0.9864705882,34,1.0,34,1.0,34,32,0.9411764705882353
setup+close_reason,ee_paper|REVERSAL,3,3,3,-15.24,-5.08,0,0.0,0,0.0,3,0,0.0
setup+close_reason,ee_paper|WIN_HEDGE,2,2,2,-6.78,-3.39,0,0.0,0,0.0,2,0,0.0
setup+entry_price_bucket,ee_paper|UNKNOWN,239,239,0,,,0,,0,0.0,0,0,
setup+entry_price_bucket,ee_paper|0.83-0.84,126,126,126,14.94,0.1185714286,97,0.7698412698412699,14,0.1111111111111111,126,107,0.8492063492063492
setup+entry_price_bucket,ee_paper|0.85-0.86,103,103,103,-3.42,-0.0332038835,76,0.7378640776699029,11,0.10679611650485436,103,88,0.8543689320388349
setup+entry_price_bucket,ee_paper|0.80-0.82,49,49,49,6.96,0.1420408163,36,0.7346938775510204,9,0.1836734693877551,49,39,0.7959183673469388
setup+entry_secs_bucket,ee_paper|UNKNOWN,239,239,0,,,0,,0,0.0,0,0,
setup+entry_secs_bucket,ee_paper|150-179,158,158,158,-7.56,-0.0478481013,110,0.6962025316455697,13,0.08227848101265822,158,132,0.8354430379746836
setup+entry_secs_bucket,ee_paper|120-149,56,56,56,4.14,0.0739285714,44,0.7857142857142857,5,0.08928571428571429,56,46,0.8214285714285714
setup+entry_secs_bucket,ee_paper|090-119,27,27,27,2.34,0.0866666667,21,0.7777777777777778,2,0.07407407407407407,27,23,0.8518518518518519
setup+entry_secs_bucket,ee_paper|000-059,17,17,17,12.72,0.7482352941,16,0.9411764705882353,12,0.7058823529411765,17,14,0.8235294117647058
setup+entry_secs_bucket,ee_paper|060-089,15,15,15,2.94,0.196,13,0.8666666666666667,1,0.06666666666666667,15,14,0.9333333333333333
setup+entry_secs_bucket,ee_paper|180+,5,5,5,3.9,0.78,5,1.0,1,0.2,5,5,1.0
setup+entry_side,ee_paper|UNKNOWN,239,239,0,,,0,,0,0.0,0,0,
setup+entry_side,ee_paper|UP,145,145,145,3.42,0.0235862069,107,0.7379310344827587,17,0.11724137931034483,145,121,0.8344827586206897
setup+entry_side,ee_paper|DOWN,133,133,133,15.06,0.1132330827,102,0.7669172932330827,17,0.12781954887218044,133,113,0.849624060150376
