period,setupName,family,trades,wins,winRate,avgEntryPrice,evPerTrade,totalPnl
2026-05,distance_dom_neg30_15_late,distance_dominance,1,0,0,0.02,-0.02,-0.02
2026-04,distance_dom_neg30_15_mid,distance_dominance,1,1,1,0.77,0.22999999999999998,0.22999999999999998
2026-06,distance_dom_neg30_15_mid,distance_dominance,1,1,1,0.79,0.20999999999999996,0.20999999999999996
2026-04,distance_dom_neg15_5_late,distance_dominance,10,8,0.8,0.764,0.035999999999999976,0.35999999999999976
2026-06,distance_dom_neg15_5_late,distance_dominance,1,1,1,0.84,0.16000000000000003,0.16000000000000003
2026-04,distance_dom_sigma_180_240,distance_dominance,415,247,0.5951807228915663,0.6140722891566261,-0.018891566265060257,-7.840000000000006
2026-05,distance_dom_sigma_180_240,distance_dominance,544,209,0.38419117647058826,0.3811213235294116,0.00306985294117648,1.6700000000000053
2026-06,distance_dom_sigma_180_240,distance_dominance,204,73,0.35784313725490197,0.45063725490196066,-0.09279411764705886,-18.930000000000007
2026-04,distance_rev_pos15_30_control,distance_reversal_control,13,0,0,0.0376923076923077,-0.0376923076923077,-0.4900000000000001
2026-05,distance_rev_pos15_30_control,distance_reversal_control,216,7,0.032407407407407406,0.05337962962962948,-0.02097222222222221,-4.529999999999998
2026-06,distance_rev_pos15_30_control,distance_reversal_control,76,4,0.05263157894736842,0.05171052631578947,0.0009210526315789322,0.06999999999999884
2026-04,distance_rev_near_tie_control,distance_reversal_control,428,140,0.32710280373831774,0.34373831775700947,-0.016635514018691584,-7.119999999999997
2026-05,distance_rev_near_tie_control,distance_reversal_control,248,47,0.18951612903225806,0.21427419354838692,-0.024758064516129014,-6.139999999999995
2026-06,distance_rev_near_tie_control,distance_reversal_control,127,24,0.1889763779527559,0.2114173228346456,-0.022440944881889746,-2.849999999999998
2026-04,crossing_reversal_chop_near,crossing_probability,111,25,0.22522522522522523,0.28360360360360365,-0.05837837837837837,-6.4799999999999995
2026-05,crossing_reversal_chop_near,crossing_probability,93,5,0.053763440860215055,0.07569892473118273,-0.021935483870967734,-2.039999999999999
2026-06,crossing_reversal_chop_near,crossing_probability,47,3,0.06382978723404255,0.09404255319148934,-0.030212765957446815,-1.4200000000000004
2026-04,crossing_reversal_fresh_cross,crossing_probability,123,34,0.2764227642276423,0.3035772357723578,-0.02715447154471546,-3.3400000000000016
2026-05,crossing_reversal_fresh_cross,crossing_probability,181,9,0.049723756906077346,0.07104972375690592,-0.021325966850828736,-3.860000000000001
2026-06,crossing_reversal_fresh_cross,crossing_probability,79,5,0.06329113924050633,0.07898734177215185,-0.015696202531645578,-1.2400000000000007
2026-05,crossing_dominance_failed_revert,crossing_probability,1,1,1,0.73,0.27,0.27
2026-06,crossing_dominance_failed_revert,crossing_probability,1,1,1,0.6699999999999999,0.33000000000000007,0.33000000000000007
2026-04,near_target_reversal_late_sigma05,near_target_locked,40,11,0.275,0.25375000000000014,0.021249999999999984,0.8499999999999994
2026-05,near_target_reversal_late_sigma05,near_target_locked,72,0,0,0.03597222222222224,-0.03597222222222224,-2.590000000000001
2026-06,near_target_reversal_late_sigma05,near_target_locked,26,1,0.038461538461538464,0.04423076923076926,-0.005769230769230799,-0.15000000000000077
2026-04,near_target_reversal_mid_sigma1,near_target_locked,182,73,0.4010989010989011,0.40043956043956036,0.0006593406593406358,0.11999999999999572
2026-05,near_target_reversal_mid_sigma1,near_target_locked,237,29,0.12236286919831224,0.12949367088607586,-0.007130801687763707,-1.6899999999999986
2026-06,near_target_reversal_mid_sigma1,near_target_locked,117,13,0.1111111111111111,0.14068376068376068,-0.02957264957264957,-3.4599999999999995
2026-04,near_target_dominance_late_control,near_target_locked,73,29,0.3972602739726027,0.41698630136986303,-0.019726027397260298,-1.4400000000000017
2026-05,near_target_dominance_late_control,near_target_locked,122,8,0.06557377049180328,0.07827868852459001,-0.012704918032786896,-1.5500000000000012
2026-06,near_target_dominance_late_control,near_target_locked,55,2,0.03636363636363636,0.09418181818181817,-0.05781818181818183,-3.1800000000000006
2026-04,near_target_reversal_crossed_late,near_target_locked,66,16,0.24242424242424243,0.26045454545454544,-0.01803030303030305,-1.1900000000000013
2026-05,near_target_reversal_crossed_late,near_target_locked,93,0,0,0.037634408602150546,-0.037634408602150546,-3.5000000000000004
2026-06,near_target_reversal_crossed_late,near_target_locked,38,3,0.07894736842105263,0.05684210526315791,0.02210526315789471,0.839999999999999
2026-04,lag_continuation_30s_dom_cheap,lag_btc_vs_odds,27,17,0.6296296296296297,0.5762962962962963,0.053333333333333365,1.4400000000000008
2026-05,lag_continuation_30s_dom_cheap,lag_btc_vs_odds,85,43,0.5058823529411764,0.42317647058823527,0.08270588235294118,7.030000000000001
2026-06,lag_continuation_30s_dom_cheap,lag_btc_vs_odds,32,10,0.3125,0.37656249999999997,-0.06406250000000002,-2.0500000000000007
2026-04,lag_continuation_10s_dom_cheap,lag_btc_vs_odds,9,6,0.6666666666666666,0.5122222222222222,0.15444444444444447,1.3900000000000001
2026-05,lag_continuation_10s_dom_cheap,lag_btc_vs_odds,85,33,0.38823529411764707,0.326235294117647,0.062000000000000006,5.2700000000000005
2026-06,lag_continuation_10s_dom_cheap,lag_btc_vs_odds,33,7,0.21212121212121213,0.24181818181818182,-0.029696969696969708,-0.9800000000000003
2026-04,lag_reversal_30s_countermove,lag_btc_vs_odds,40,9,0.225,0.20675,0.018249999999999992,0.7299999999999996
2026-05,lag_reversal_30s_countermove,lag_btc_vs_odds,109,16,0.14678899082568808,0.15990825688073387,-0.013119266055045887,-1.4300000000000017
2026-06,lag_reversal_30s_countermove,lag_btc_vs_odds,73,10,0.136986301369863,0.12794520547945196,0.009041095890410954,0.6599999999999996
2026-04,lag_dominance_strong_move,lag_btc_vs_odds,12,9,0.75,0.6400000000000001,0.10999999999999999,1.3199999999999998
2026-05,lag_dominance_strong_move,lag_btc_vs_odds,41,25,0.6097560975609756,0.575609756097561,0.03414634146341462,1.3999999999999995
2026-06,lag_dominance_strong_move,lag_btc_vs_odds,21,12,0.5714285714285714,0.570952380952381,0.0004761904761904713,0.009999999999999898
2026-04,late_momentum_10s_dom_75,late_momentum_continuation,1,0,0,0.02,-0.02,-0.02
2026-05,late_momentum_10s_dom_75,late_momentum_continuation,26,8,0.3076923076923077,0.2784615384615384,0.029230769230769227,0.7599999999999999
2026-06,late_momentum_10s_dom_75,late_momentum_continuation,14,6,0.42857142857142855,0.2578571428571429,0.17071428571428565,2.3899999999999992
2026-04,late_momentum_30s_dom_80,late_momentum_continuation,3,2,0.6666666666666666,0.5833333333333334,0.08333333333333333,0.24999999999999997
2026-05,late_momentum_30s_dom_80,late_momentum_continuation,10,2,0.2,0.269,-0.06900000000000002,-0.6900000000000002
2026-06,late_momentum_30s_dom_80,late_momentum_continuation,5,2,0.4,0.396,0.003999999999999983,0.019999999999999914
2026-04,late_momentum_reversal_counter,late_momentum_continuation,27,2,0.07407407407407407,0.10296296296296298,-0.028888888888888898,-0.7800000000000002
2026-05,late_momentum_reversal_counter,late_momentum_continuation,65,2,0.03076923076923077,0.05123076923076924,-0.02046153846153847,-1.3300000000000005
2026-06,late_momentum_reversal_counter,late_momentum_continuation,44,2,0.045454545454545456,0.05659090909090911,-0.011136363636363644,-0.4900000000000003
